校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
05801,中國語文學系,10,10,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
國文學業
學測社會
歷史學業
學測英文
學測總級分",10,"28%
13
11%
--
--
--
--",--,
05801,中國語文學系【外加】,0,1,"前標
均標
--
均標
--
均標
--","在校學業
學測國文
國文學業
學測社會
歷史學業
學測英文
學測總級分",0,"--
--
--
--
--
--
--",--,
05802,外國語文學系,8,8,"均標
前標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學",8,"10%
--
--
--
--
--",--,
05802,外國語文學系【外加】,0,1,"均標
前標
--
--
--
--
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學",0,"--
--
--
--
--
--",--,
05803,社會政策與社會工作學系,13,13,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",9,"28%
--
--
--
--
--
--",4,"14%
--
--
--
--
--
--"
05803,社會政策與社會工作學系【外加】,0,2,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
英文學業
國文學業",0,"--
--
--
--
--
--
--",--,
05804,公共行政與政策學系,14,16,"均標
均標
均標
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
英文學業
國文學業",8,"30%
--
--
--
--
--",6,"23%
--
--
--
--
--"
05804,公共行政與政策學系【外加】,0,5,"均標
均標
均標
--
--
均標
--","在校學業
學測英文
學測國文
學測社會
英文學業
國文學業",0,"--
--
--
--
--
--",--,
05805,歷史學系,7,7,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
國文學業",3,"21%
--
--
--
--
--
--",4,"23%
--
--
--
--
--
--"
05805,歷史學系【外加】,0,2,"均標
均標
--
均標
--
均標
--","在校學業
學測總級分
學測英文
學測國文
學測社會
學測數學
國文學業",0,"--
--
--
--
--
--
--",--,
