校系代碼,校系名稱,總錄取人數,招生名額,檢定標準,比序項目,第一輪錄取,第一輪比序,第二輪錄取,第二輪比序
02601,應用外國語言學系,10,10,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
學測總級分",5,"33%
--
--
--
--",5,"15%
11
--
--
--"
02601,應用外國語言學系【外加】,0,2,"均標
均標
--
--
--
--
--","在校學業
學測英文
學測國文
英文學業
學測總級分",0,"--
--
--
--
--",--,
02602,醫學社會暨社會工作學系,6,6,"均標
--
--
均標
--
--
--","在校學業
學測社會
學測總級分
學測國文
學測英文
學測數學",5,"35%
--
--
--
--
--",1,"14%
--
--
--
--
--"
02602,醫學社會暨社會工作學系【外加】,0,2,"均標
--
--
均標
--
--
--","在校學業
學測社會
學測總級分
學測國文
學測英文
學測數學",0,"--
--
--
--
--
--",--,
02603,醫療產業科技管理學系,5,7,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",1,"6%
--
--
--
--
--
--",4,"39%
--
--
--
--
--
--"
02603,醫療產業科技管理學系【外加】,0,1,"均標
均標
均標
--
--
--
--","在校學業
學測英文
學測數學
學測國文
英文學業
數學學業
國文學業",0,"--
--
--
--
--
--
--",--,
02604,醫學資訊學系,15,15,"--
後標
後標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測自然
學測社會",5,"38%
--
--
--
--
--
--",10,"27%
--
--
--
--
--
--"
02604,醫學資訊學系【外加】,0,2,"--
後標
後標
--
--
--
--","在校學業
學測總級分
學測數學
學測英文
學測國文
學測自然
學測社會",0,"--
--
--
--
--
--
--",--,
02605,物理治療學系,20,20,"均標
均標
均標
--
均標
均標
--","在校學業
學測總級分
學測英文
學測數學
學測自然
英文學業
生物學業",20,"5%
58
--
--
--
--
--",--,
02605,物理治療學系【外加】,0,2,"均標
均標
均標
--
均標
均標
--","在校學業
學測總級分
學測英文
學測數學
學測自然
英文學業
生物學業",0,"--
--
--
--
--
--
--",--,
02606,職能治療學系,12,12,"均標
均標
--
--
均標
--
--","在校學業
學測總級分
學測自然
學測英文
學測國文",12,"4%
--
--
--
--",--,
02606,職能治療學系【外加】,0,2,"均標
均標
--
--
均標
--
--","在校學業
學測總級分
學測自然
學測英文
學測國文",0,"--
--
--
--
--",--,
02607,語言治療與聽力學系語言治療組,6,6,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",6,"3%
11
--
--
--
--",--,
02607,語言治療與聽力學系語言治療組【外加】,0,1,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",0,"--
--
--
--
--
--",--,
02608,語言治療與聽力學系聽力組,6,6,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",6,"5%
14
--
--
--
--",--,
02608,語言治療與聽力學系聽力組【外加】,0,1,"均標
均標
--
--
均標
--
--","在校學業
學測英文
學測國文
學測總級分
英文學業
國文學業",0,"--
--
--
--
--
--",--,
02609,生物醫學科學學系,20,20,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學",20,"21%
51
--
--
--",--,
02609,生物醫學科學學系【外加】,0,2,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學",0,"--
--
--
--
--",--,
02610,視光學系,10,10,"均標
均標
均標
--
均標
均標
--","在校學業
生物學業
物理學業
數學學業
英文學業",10,"23%
30%
--
--
--",--,
02610,視光學系【外加】,0,1,"均標
均標
均標
--
均標
均標
--","在校學業
生物學業
物理學業
數學學業
英文學業",0,"--
--
--
--
--",--,
02611,醫學影像暨放射科學系,12,12,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文",12,"7%
10
--
--",--,
02611,醫學影像暨放射科學系【外加】,0,1,"--
均標
均標
--
均標
--
--","在校學業
學測自然
學測數學
學測英文",0,"--
--
--
--",--,
02612,心理學系,6,6,"後標
均標
後標
--
--
--
--","在校學業
學測數學
數學學業
學測國文
國文學業
學測英文
英文學業",6,"8%
11
--
--
--
--
--",--,
02612,心理學系【外加】,0,2,"後標
均標
後標
--
--
--
--","在校學業
學測數學
數學學業
學測國文
國文學業
學測英文
英文學業",0,"--
--
--
--
--
--
--",--,
02613,營養學系,40,40,"--
後標
--
--
均標
--
--","在校學業
學測自然
學測英文
學測總級分
生物學業
英文學業
化學學業",40,"14%
--
--
--
--
--
--",--,
02613,營養學系【外加】,0,2,"--
後標
--
--
均標
--
--","在校學業
學測自然
學測英文
學測總級分
生物學業
英文學業
化學學業",0,"--
--
--
--
--
--
--",--,
02614,職業安全衛生學系,11,11,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學",6,"35%
--
--
--
--",5,"14%
--
--
--
--"
02614,職業安全衛生學系【外加】,0,1,"--
--
--
--
--
均標
--","在校學業
學測總級分
學測自然
學測英文
學測數學",0,"--
--
--
--
--",--,
02615,醫學應用化學系,12,12,"--
--
--
--
均標
後標
--","在校學業
學測自然
化學學業
數學學業
學測英文",12,"12%
12
--
--
--",--,
02615,醫學應用化學系【外加】,0,2,"--
--
--
--
均標
後標
--","在校學業
學測自然
化學學業
數學學業
學測英文",0,"--
--
--
--
--",--,
02616,健康餐飲暨產業管理學系,5,5,"--
後標
後標
--
後標
--
--","在校學業
學測總級分
學測英文
學測自然
學測數學
英文學業",5,"15%
54
--
--
--
--",--,
02616,健康餐飲暨產業管理學系【外加】,0,2,"--
後標
後標
--
後標
--
--","在校學業
學測總級分
學測英文
學測自然
學測數學
英文學業",0,"--
--
--
--
--
--",--,
02617,護理學系,8,8,"後標
後標
--
--
後標
--
--","在校學業
學測英文
學測國文
學測自然
學測數學
學測社會",8,"5%
10
--
--
--
--",--,
02617,護理學系【外加】,0,1,"後標
後標
--
--
後標
--
--","在校學業
學測英文
學測國文
學測自然
學測數學
學測社會",0,"--
--
--
--
--
--",--,
02618,醫學檢驗暨生物技術學系,20,20,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
生物學業
化學學業
物理學業",20,"6%
49
--
--
--
--
--",--,
02618,醫學檢驗暨生物技術學系【外加】,1,2,"--
均標
--
--
均標
均標
--","在校學業
學測總級分
學測自然
學測英文
生物學業
化學學業
物理學業",1,"15%
--
--
--
--
--
--",--,
02619,公共衛生學系,24,24,"--
後標
後標
--
後標
--
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測社會",24,"22%
--
--
--
--
--",--,
02619,公共衛生學系【外加】,0,2,"--
後標
後標
--
後標
--
--","在校學業
學測總級分
學測英文
學測自然
學測數學
學測社會",0,"--
--
--
--
--
--",--,
